301,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,2,3,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",80,20,,,Yes,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,,,,,Implementing new or significantly improved organisational processes/structures,30,Major Enabler,Barrier,Major Enabler,Enabler,Major Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Barrier,Barrier,Major Barrier,Major Barrier,Major Barrier,Enabler,Enabler
302,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,3,2,1,,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",,,ICT security specialists,,"Software engineers, testers and app programmers",,,,,,,,,"$500,000 to $999,999",10,90,,,Yes,Yes,Increase,Stay the same,Regularly,,,Computer software,,,,,,,,,,,,,,Western Europe,,North America,,,,,UK,USA,,,,UK,USA,Canada,Singapore,Hong Kong,Developing new products and services,80,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Barrier,Barrier,Barrier,Barrier,Barrier
303,Computer hardware maintenance and consulting,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,30,5,,,Increase,No,,ICT professionals,,,,ICT security specialists,ICT network and support professionals (e.g. computer network and systems engineers),,,,,,,,,,"More than $10,000,000",100,,,,Yes,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,5,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
304,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,2,,,,Stay the same,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,,,,,,,,,,"$200,000 to $499,999",100,,,,Yes,No,Decrease,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customising/modifying existing products and services,30,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
305,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,11,1,,,Stay the same,Yes,,ICT professionals,,Developer programmers,,,,,,,,,Research and development,,,,"$1,000,000 to $4,999,999",5,20,,75,No,No,Increase,Stay the same,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,Telecommunications services,,,South East Asia,,,,,Western Europe,,North America,,,Oceania and Pacific Islands,,Malaysia,The Netherlands,Sweden,UK,Germany,Indonesia,Germany,Malaysia,The Netherlands,Sweden,Developing new products and services,30,Major Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Enabler,Major Barrier,Not Applicable,Not Applicable,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Barrier,Enabler,Major Barrier
306,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,6,19,15,1,Increase,Yes,ICT managers,ICT professionals,,,,,,,"Technicians – ICT, telecommunications and electronics",,,,,,,,"More than $10,000,000",21,79,,,Yes,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,Indonesia,Pacific Islands,,,Implementing new or significantly improved operational processes,7,Barrier,Barrier,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
307,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,90,10,4,40,Increase,Yes,,,,,,,,,"Technicians – ICT, telecommunications and electronics",,,,,,,,"More than $10,000,000",81,3.1,7.4,8.5,Yes,Yes,Increase,Stay the same,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,South East Asia,,,Middle East,Eastern Europe and Russia,Western Europe,,North America,,South America,,,Asia,EU,North America,New Zealand,Middle East,Asia,EU,North America,New Zealand,Middle East,Developing new products and services,2,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
309,"Internet and data services (incl. data centre hosting, cloud services)",Listed on ASX,Interstate,10 to 19 years,250,,1200,800,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",20,80,,,Yes,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,10,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
311,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,7,6,,,Stay the same,Yes,,ICT professionals,,,,,,,"Technicians – ICT, telecommunications and electronics",,,ICT trainers,,,,,"$500,000 to $999,999",,,,,Yes,Yes,Stay the same,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,0,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,,Major Enabler,Enabler,Enabler,Barrier,Major Enabler,Barrier,Barrier,Enabler,Not Applicable,Not Applicable,Not Applicable,Barrier
313,Computer software consulting,Privately owned (100% Australian),Interstate,5 to 9 years,22,8,190,5,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",15,80,5,,Yes,Yes,Increase,Stay the same,Irregularly,,,,,,,,,,,Other,South East Asia,,,,,,,,,,,,Hong Kong,,,,,Hong Kong,China,,,,Customising/modifying existing products and services,1,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Enabler,Not Applicable,Enabler,Major Enabler,Neither a barrier nor an enabler,Major Enabler,Barrier,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Not Applicable
314,Computer hardware maintenance and consulting,Listed on ASX,Interstate,10 to 19 years,80,20,800,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",12,88,,,Yes,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,1,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Enabler,Major Enabler,Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Barrier,Not Applicable,Not Applicable
315,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,,,,,Increase,No,,,,,,,,,,,ICT sales,,,,,,"$0 to $199,999",100,,,,No,No,Increase,Increase,Irregularly,,,,,,,,,,,Other,South East Asia,,,,,,,,,,,,Japan,China,,,,USA,China,,,,Implementing new or significantly improved marketing methods,50,Barrier,Barrier,Not Applicable,Major Barrier,Barrier,Barrier,Not Applicable,Not Applicable,Not Applicable,Neither a barrier nor an enabler,Barrier,Not Applicable,Barrier,Major Barrier,Barrier,Barrier,Major Barrier,Major Barrier
316,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,70,,,,Stay the same,No,,,,Developer programmers,Database and systems administrators,,,,,,,,,,,,"$5,000,000 to $9,999,999",80,20,,,Yes,No,Stay the same,Stay the same,Irregularly,,,Computer software,,,,,,,,,,,,,,,Africa,,,,,,South Africa,,,,,,,,,,Implementing new or significantly improved operational processes,5,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
317,Manufacturing – ICT equipment,Listed on foreign exchange,Interstate,20 or more years,6,,300,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",1,6,83,10,Yes,Yes,Decrease,Stay the same,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,South East Asia,East Asia,South Asia,Middle East,Eastern Europe and Russia,Western Europe,,North America,,South America,Oceania and Pacific Islands,,USA,EU,Pakistan,,,USA,EU,Asia,,,Developing new products and services,10,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
318,Manufacturing – ICT equipment,Privately owned (50-100% foreign owned),Interstate,20 or more years,250,500,2250,10000,Stay the same,Yes,,,"ICT business analysts, systems analysts and programmers",Developer programmers,Database and systems administrators,ICT security specialists,ICT network and support professionals (e.g. computer network and systems engineers),"Software engineers, testers and app programmers",,,,,,,,,"More than $10,000,000",15,85,,,Yes,Yes,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,1,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,,Barrier,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
319,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,1,,,,Stay the same,No,,,,,,,,,,,,,,,,Other,"$0 to $199,999",100,,,,No,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,50,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Major Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
320,Computer software consulting,Privately owned (100% Australian),Interstate,5 to 9 years,6,10,35,,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",,Database and systems administrators,,,,,,,,,,,,"$5,000,000 to $9,999,999",35,65,,,Yes,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customising/modifying existing products and services,5,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Major Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
321,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,2,,,,Stay the same,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,,,,,,,"Business management, human resources and other support functions",,,"$200,000 to $499,999",70,20,,10,No,Yes,Increase,Stay the same,Irregularly,,,,,,,,,,,Other,,,,,,Western Europe,,North America,,,,,,,,,,USA,France,,,,Implementing new or significantly improved marketing methods,100,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
322,Wholesaling – ICT goods,Listed on foreign exchange,Overseas,10 to 19 years,145,10,,,Increase,Yes,,ICT professionals,"ICT business analysts, systems analysts and programmers",Developer programmers,,ICT security specialists,,,,,ICT sales,,,,,,"More than $10,000,000",0.5,1.5,98,,Yes,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,0.5,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
